,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
93,2021-10-07,801.8209835814292,39.51115256496891,1508.8926164097948,726.7423982072853,876.9406082400766,-6.193610062347596,-6.193610062347596,-6.193610062347596,-4.634685224785052,-4.634685224785052,-4.634685224785052,-1.5589248375625404,-1.5589248375625404,-1.5589248375625404,0.0,0.0,0.0,795.6273735190816
94,2021-10-08,803.2912119836456,-2.217951538862011,1549.249267280923,727.2931067996976,880.4425419823897,-21.7681644036176,-21.7681644036176,-21.7681644036176,-23.06925039072612,-23.06925039072612,-23.06925039072612,1.3010859871085199,1.3010859871085199,1.3010859871085199,0.0,0.0,0.0,781.523047580028
95,2021-10-09,804.7614403858615,169.44302040954807,1648.288965143229,728.5938689608822,883.1331812848139,77.31261046416414,77.31261046416414,77.31261046416414,73.42368841354292,73.42368841354292,73.42368841354292,3.888922050621213,3.888922050621213,3.888922050621213,0.0,0.0,0.0,882.0740508500256
96,2021-10-10,806.2316687880779,149.28760840666044,1640.7846328461676,728.5992048513504,885.856110829454,79.54142648824362,79.54142648824362,79.54142648824362,73.36118910205401,73.36118910205401,73.36118910205401,6.180237386189618,6.180237386189618,6.180237386189618,0.0,0.0,0.0,885.7730952763214
97,2021-10-11,807.7018971902938,73.2148433952072,1564.784425996231,728.9650175847676,888.5737015447562,-14.093135005657448,-14.093135005657448,-14.093135005657448,-22.252942537954702,-22.252942537954702,-22.252942537954702,8.159807532297254,8.159807532297254,8.159807532297254,0.0,0.0,0.0,793.6087621846364
98,2021-10-12,809.1721255925098,64.54417616124816,1556.3862920168351,729.3899065850349,890.9215853945224,-28.65122874803253,-28.65122874803253,-28.65122874803253,-38.47269219205018,-38.47269219205018,-38.47269219205018,9.821463444017649,9.821463444017649,9.821463444017649,0.0,0.0,0.0,780.5208968444773
99,2021-10-13,810.6423539947259,49.218539750701034,1495.1911622170612,729.797863830246,894.1154704483995,-47.18755592506416,-47.18755592506416,-47.18755592506416,-58.35530717015145,-58.35530717015145,-58.35530717015145,11.167751245087285,11.167751245087285,11.167751245087285,0.0,0.0,0.0,763.4547980696617
100,2021-10-14,812.1125823969419,23.48564284559787,1524.1423509453932,730.4300105607009,896.091361250424,7.574647270327763,7.574647270327763,7.574647270327763,-4.634685224751569,-4.634685224751569,-4.634685224751569,12.209332495079336,12.209332495079336,12.209332495079336,0.0,0.0,0.0,819.6872296672697
101,2021-10-15,813.5828107991582,32.98880892433057,1553.7196089313347,731.1525451622728,898.677269779474,-10.105102725767146,-10.105102725767146,-10.105102725767146,-23.069250390550653,-23.069250390550653,-23.069250390550653,12.964147664783502,12.964147664783502,12.964147664783502,0.0,0.0,0.0,803.4777080733911
102,2021-10-16,815.0530392013742,106.02416594968349,1628.2997912356784,731.5215064812585,901.2464364790544,86.88006121988089,86.88006121988089,86.88006121988089,73.42368841370846,73.42368841370846,73.42368841370846,13.456372806172437,13.456372806172437,13.456372806172437,0.0,0.0,0.0,901.9331004212551
